,ERC-20 Token,Ticker,Look Up Name,CoinMarketCap URL,Market Cap (2018-08-08)
1,EOS,EOS,eos,https://coinmarketcap.com/currencies/eos/,"$5,161,530,000"
2,TRON,TRX,tron,https://coinmarketcap.com/currencies/tron/,"$1,631,420,000"
3,Binance Coin,BNB,binance-coin,https://coinmarketcap.com/currencies/binance-coin/,"$1,150,540,000"
4,Walton,WTC,walton,https://coinmarketcap.com/currencies/walton/,"$672,306,000"
5,OmiseGO,OMG,omisego,https://coinmarketcap.com/currencies/omisego/,"$630,849,000"
6,VeChain,VEN,vechain,https://coinmarketcap.com/currencies/vechain/,"$605,304,000"
7,0x,ZRX,0x,https://coinmarketcap.com/currencies/0x/,"$453,815,000"
8,Maker,MKR,maker,https://coinmarketcap.com/currencies/maker/,"$341,561,000"
9,Zilliqa,ZIL,zilliqa,https://coinmarketcap.com/currencies/zilliqa/,"$315,954,000"
10,Aeternity,AE,aeternity,https://coinmarketcap.com/currencies/aeternity/,"$298,974,000"
11,ICON,ICX,icon,https://coinmarketcap.com/currencies/icon/,"$297,516,000"
12,Augur,REP,augur,https://coinmarketcap.com/currencies/augur/,"$254,447,000"
13,MOAC,MOAC,moac,https://coinmarketcap.com/currencies/moac/,"$253,327,000"
14,Bytom,BTM,bytom,https://coinmarketcap.com/currencies/bytom/,"$212,359,000"
15,Pundi X,PXS,pundi-x,https://coinmarketcap.com/currencies/pundi-x/,"$185,366,000"
16,RChain,RHOC,rchain,https://coinmarketcap.com/currencies/rchain/,"$183,984,000"
17,KuCoin Shares,KCS,kucoin-shares,https://coinmarketcap.com/currencies/kucoin-shares/,"$182,224,000"
18,Golem,GNT,golem,https://coinmarketcap.com/currencies/golem/,"$180,403,000"
19,Populous,PPT,populous,https://coinmarketcap.com/currencies/populous/,"$167,414,000"
20,Status,SNT,status,https://coinmarketcap.com/currencies/status/,"$162,808,000"
21,XPlay,XPA,xplay,https://coinmarketcap.com/currencies/xplay/,"$149,458,000"
22,IOStoken,IOST,iostoken,https://coinmarketcap.com/currencies/iostoken/,"$138,739,000"
23,DigixDAO,DGD,digixdao,https://coinmarketcap.com/currencies/digixdao/,"$134,875,000"
24,aelf,ELF,aelf,https://coinmarketcap.com/currencies/aelf/,"$122,246,000"
25,Kin,KIN,kin,https://coinmarketcap.com/currencies/kin/,"$120,651,000"
26,Mixin,XIN,mixin,https://coinmarketcap.com/currencies/mixin/,"$120,461,000"
27,Waltonchain,WTC,waltonchain,https://coinmarketcap.com/currencies/waltonchain/,"$114,127,000"
28,Oyster Pearl,PRL,oyster-pearl,https://coinmarketcap.com/currencies/oyster-pearl/,"$104,180,000"
29,Dentacoin,DCN,dentacoin,https://coinmarketcap.com/currencies/dentacoin/,"$100,324,000"
30,Aion,AION,aion,https://coinmarketcap.com/currencies/aion/,"$94,667,500"
31,Bancor,BNT,bancor,https://coinmarketcap.com/currencies/bancor/,"$93,034,200"
32,FunFair,FUN,funfair,https://coinmarketcap.com/currencies/funfair/,"$90,807,700"
33,Decentraland,MANA,decentraland,https://coinmarketcap.com/currencies/decentraland/,"$88,619,000"
34,Monaco,MCO,monaco,https://coinmarketcap.com/currencies/monaco/,"$87,222,100"
35,WAX,WAX,wax,https://coinmarketcap.com/currencies/wax/,"$85,831,200"
36,Paypex,PAYX,paypex,https://coinmarketcap.com/currencies/paypex/,"$80,933,000"
37,ChainLink,LINK,chainlink,https://coinmarketcap.com/currencies/chainlink/,"$80,406,000"
38,Nebulas,NAS,nebulas,https://coinmarketcap.com/currencies/nebulas/,"$78,817,000"
39,Power Ledger,POWR,power-ledger,https://coinmarketcap.com/currencies/power-ledger/,"$74,960,200"
40,Loopring,LRC,loopring,https://coinmarketcap.com/currencies/loopring/,"$74,785,200"
41,Kyber Network,KNC,kyber-network,https://coinmarketcap.com/currencies/kyber-network/,"$74,204,900"
42,Theta Token,THETA,theta-token,https://coinmarketcap.com/currencies/theta-token/,"$68,739,700"
43,TenX,PAY,tenx,https://coinmarketcap.com/currencies/tenx/,"$66,589,000"
44,Polymath Network,POLY,polymath-network,https://coinmarketcap.com/currencies/polymath-network/,"$63,365,600"
45,CyberMiles,CMT,cybermiles,https://coinmarketcap.com/currencies/cybermiles/,"$62,304,800"
46,Bibox Token,BIX,bibox-token,https://coinmarketcap.com/currencies/bibox-token/,"$61,198,400"
47,Nuls,NULS,nuls,https://coinmarketcap.com/currencies/nuls/,"$60,842,900"
48,Enigma,ENG,enigma,https://coinmarketcap.com/currencies/enigma/,"$60,015,100"
49,QASH,QASH,qash,https://coinmarketcap.com/currencies/qash/,"$56,963,600"
50,Storj,STORJ,storj,https://coinmarketcap.com/currencies/storj/,"$55,795,300"
51,Hive,HVN,hive,https://coinmarketcap.com/currencies/hive/,"$54,891,800"
52,Iconomi,ICN,iconomi,https://coinmarketcap.com/currencies/iconomi/,"$54,748,300"
53,Dai,DAI,dai,https://coinmarketcap.com/currencies/dai/,"$54,555,000"
54,Veritaseum,VERI,veritaseum,https://coinmarketcap.com/currencies/veritaseum/,"$53,516,200"
55,Substratum,SUB,substratum,https://coinmarketcap.com/currencies/substratum/,"$52,143,900"
56,Gifto,GTO,gifto,https://coinmarketcap.com/currencies/gifto/,"$50,101,500"
57,Civic,CVC,civic,https://coinmarketcap.com/currencies/civic/,"$45,587,500"
58,Storm,STORM,storm,https://coinmarketcap.com/currencies/storm/,"$44,190,400"
59,Dragonchain,DRGN,dragonchain,https://coinmarketcap.com/currencies/dragonchain/,"$43,670,000"
60,Gnosis,GNO,gnosis,https://coinmarketcap.com/currencies/gnosis/,"$42,117,300"
61,SALT,SALT,salt,https://coinmarketcap.com/currencies/salt/,"$41,954,600"
62,Game,GTC,game,https://coinmarketcap.com/currencies/game/,"$41,840,900"
63,Ethos,ETHOS,ethos,https://coinmarketcap.com/currencies/ethos/,"$41,002,400"
64,Fusion,FSN,fusion,https://coinmarketcap.com/currencies/fusion/,"$40,091,800"
65,Crypterium,CRPT,crypterium,https://coinmarketcap.com/currencies/crypterium/,"$39,467,200"
66,CoinDash,CDT,coindash,https://coinmarketcap.com/currencies/coindash/,"$38,011,300"
67,Simple Token,OST,simple-token,https://coinmarketcap.com/currencies/simple-token/,"$37,768,700"
68,Time New Bank,TNB,time-new-bank,https://coinmarketcap.com/currencies/time-new-bank/,"$36,692,200"
69,KickCoin,KICK,kickcoin,https://coinmarketcap.com/currencies/kickcoin/,"$36,675,200"
70,Scry.info,DDD,scry.info,https://coinmarketcap.com/currencies/scry.info/,"$36,586,700"
71,Aragon,ANT,aragon,https://coinmarketcap.com/currencies/aragon/,"$36,370,100"
72,Bluzelle,BLZ,bluzelle,https://coinmarketcap.com/currencies/bluzelle/,"$33,989,600"
73,Cube,AUTO,cube,https://coinmarketcap.com/currencies/cube/,"$33,847,400"
74,Enjin Coin,ENJ,enjin-coin,https://coinmarketcap.com/currencies/enjin-coin/,"$33,798,200"
