,ERC-20 Token,Ticker,Look Up Name,CoinMarketCap URL,Market Cap (2018-08-05)
1,EOS,EOS,eos,https://coinmarketcap.com/currencies/eos/,"$6,387,070,000"
2,TRON,TRX,tron,https://coinmarketcap.com/currencies/tron/,"$1,979,220,000"
3,Binance Coin,BNB,binance-coin,https://coinmarketcap.com/currencies/binance-coin/,"$1,301,560,000"
4,VeChain,VEN,vechain,https://coinmarketcap.com/currencies/vechain/,"$776,244,000"
5,OmiseGO,OMG,omisego,https://coinmarketcap.com/currencies/omisego/,"$768,689,000"
6,Walton,WTC,walton,https://coinmarketcap.com/currencies/walton/,"$672,306,000"
7,0x,ZRX,0x,https://coinmarketcap.com/currencies/0x/,"$516,015,000"
8,Zilliqa,ZIL,zilliqa,https://coinmarketcap.com/currencies/zilliqa/,"$440,088,000"
9,Aeternity,AE,aeternity,https://coinmarketcap.com/currencies/aeternity/,"$394,067,000"
10,Maker,MKR,maker,https://coinmarketcap.com/currencies/maker/,"$374,368,000"
11,ICON,ICX,icon,https://coinmarketcap.com/currencies/icon/,"$357,995,000"
12,Augur,REP,augur,https://coinmarketcap.com/currencies/augur/,"$318,086,000"
13,Bytom,BTM,bytom,https://coinmarketcap.com/currencies/bytom/,"$276,679,000"
14,MOAC,MOAC,moac,https://coinmarketcap.com/currencies/moac/,"$244,628,000"
15,RChain,RHOC,rchain,https://coinmarketcap.com/currencies/rchain/,"$221,116,000"
16,Golem,GNT,golem,https://coinmarketcap.com/currencies/golem/,"$220,021,000"
17,KuCoin Shares,KCS,kucoin-shares,https://coinmarketcap.com/currencies/kucoin-shares/,"$204,731,000"
18,Pundi X,PXS,pundi-x,https://coinmarketcap.com/currencies/pundi-x/,"$203,239,000"
19,Status,SNT,status,https://coinmarketcap.com/currencies/status/,"$189,650,000"
20,Populous,PPT,populous,https://coinmarketcap.com/currencies/populous/,"$175,733,000"
21,IOStoken,IOST,iostoken,https://coinmarketcap.com/currencies/iostoken/,"$173,642,000"
22,Mixin,XIN,mixin,https://coinmarketcap.com/currencies/mixin/,"$157,424,000"
23,DigixDAO,DGD,digixdao,https://coinmarketcap.com/currencies/digixdao/,"$156,728,000"
24,XPlay,XPA,xplay,https://coinmarketcap.com/currencies/xplay/,"$149,458,000"
25,Waltonchain,WTC,waltonchain,https://coinmarketcap.com/currencies/waltonchain/,"$149,017,000"
26,aelf,ELF,aelf,https://coinmarketcap.com/currencies/aelf/,"$135,616,000"
27,Kin,KIN,kin,https://coinmarketcap.com/currencies/kin/,"$132,584,000"
28,Aion,AION,aion,https://coinmarketcap.com/currencies/aion/,"$115,991,000"
29,FunFair,FUN,funfair,https://coinmarketcap.com/currencies/funfair/,"$110,900,000"
30,Dentacoin,DCN,dentacoin,https://coinmarketcap.com/currencies/dentacoin/,"$109,511,000"
31,Nebulas,NAS,nebulas,https://coinmarketcap.com/currencies/nebulas/,"$105,149,000"
32,Bancor,BNT,bancor,https://coinmarketcap.com/currencies/bancor/,"$104,463,000"
33,Oyster Pearl,PRL,oyster-pearl,https://coinmarketcap.com/currencies/oyster-pearl/,"$104,180,000"
34,Decentraland,MANA,decentraland,https://coinmarketcap.com/currencies/decentraland/,"$102,527,000"
35,Monaco,MCO,monaco,https://coinmarketcap.com/currencies/monaco/,"$102,208,000"
36,Loopring,LRC,loopring,https://coinmarketcap.com/currencies/loopring/,"$100,594,000"
37,WAX,WAX,wax,https://coinmarketcap.com/currencies/wax/,"$99,132,700"
38,Kyber Network,KNC,kyber-network,https://coinmarketcap.com/currencies/kyber-network/,"$92,653,400"
39,Paypex,PAYX,paypex,https://coinmarketcap.com/currencies/paypex/,"$91,066,900"
40,Power Ledger,POWR,power-ledger,https://coinmarketcap.com/currencies/power-ledger/,"$89,099,400"
41,ChainLink,LINK,chainlink,https://coinmarketcap.com/currencies/chainlink/,"$88,975,500"
42,TenX,PAY,tenx,https://coinmarketcap.com/currencies/tenx/,"$79,725,600"
43,Theta Token,THETA,theta-token,https://coinmarketcap.com/currencies/theta-token/,"$78,172,300"
44,CyberMiles,CMT,cybermiles,https://coinmarketcap.com/currencies/cybermiles/,"$76,589,700"
45,Polymath Network,POLY,polymath-network,https://coinmarketcap.com/currencies/polymath-network/,"$76,282,300"
46,Bibox Token,BIX,bibox-token,https://coinmarketcap.com/currencies/bibox-token/,"$76,201,500"
47,Nuls,NULS,nuls,https://coinmarketcap.com/currencies/nuls/,"$74,538,700"
48,Enigma,ENG,enigma,https://coinmarketcap.com/currencies/enigma/,"$70,030,100"
49,QASH,QASH,qash,https://coinmarketcap.com/currencies/qash/,"$69,412,300"
50,Veritaseum,VERI,veritaseum,https://coinmarketcap.com/currencies/veritaseum/,"$65,718,300"
51,Gifto,GTO,gifto,https://coinmarketcap.com/currencies/gifto/,"$64,877,100"
52,Substratum,SUB,substratum,https://coinmarketcap.com/currencies/substratum/,"$62,393,700"
53,Storj,STORJ,storj,https://coinmarketcap.com/currencies/storj/,"$61,970,800"
54,Civic,CVC,civic,https://coinmarketcap.com/currencies/civic/,"$57,014,300"
55,Game,GTC,game,https://coinmarketcap.com/currencies/game/,"$55,800,100"
56,Iconomi,ICN,iconomi,https://coinmarketcap.com/currencies/iconomi/,"$55,586,100"
